Country,City,Lat,Lon,West,South,East,North
DEU,Kempten,47.72674,10.31389,10.28715102612928,47.70875356788162,10.340628973870722,47.74472643211838
DEU,Stuttgart,48.78232,9.17702,9.149723229044238,48.76433356788162,9.204316770955764,48.800306432118376
DEU,Nuremberg,49.45421,11.07752,11.049850930479652,49.436223567881626,11.105189069520348,49.47219643211838
DEU,Aschaffenburg,49.97704,9.15214,9.124171433654992,49.959053567881625,9.180108566345007,49.99502643211838
DEU,Bonn,50.73438,7.09549,7.067071663010472,50.716393567881624,7.123908336989528,50.75236643211838
DEU,Leipzig,46.30452,29.01519,28.989153851397184,46.28653356788162,29.041226148602817,46.322506432118374
DEU,Berlin,52.52437,13.41053,13.380967664951523,52.50638356788162,13.440092335048476,52.542356432118375
DEU,Hanover,52.37052,9.73322,9.703760739391466,52.35253356788162,9.762679260608532,52.388506432118376
DEU,Bremen,53.07582,8.80717,8.777230419603553,53.05783356788162,8.837109580396445,53.09380643211838
DEU,Kiel,54.32133,10.13489,10.10405112132497,54.303343567881626,10.165728878675031,54.33931643211838
USA,NewYork,40.71427,-74.00597,-74.02969968189169,40.69628356788162,-73.98224031810832,40.732256432118376
USA,Washington,38.89511,-77.03637,-77.05947999287196,38.877123567881625,-77.01326000712805,38.91309643211838
USA,Austin,30.26715,-97.74306,-97.76388523013482,30.249163567881627,-97.72223476986518,30.285136432118374
USA,Phoenix,32.47098,-85.00077,-85.02208943910092,32.45299356788162,-84.97945056089908,32.488966432118374
USA,SantaFe,35.68698,-105.9378,-105.95994488468843,35.66899356788162,-105.91565511531157,35.704966432118376
CHN,Beijing,39.9075,116.39723,116.373782113916,39.88951356788162,116.420677886084,39.925486432118376
CHN,Tianjin,39.14222,117.17667,117.1534791001094,39.124233567881625,117.19986089989061,39.16020643211838
CHN,Qingdao,36.06488,120.38042,120.3581692269295,36.046893567881625,120.4026707730705,36.08286643211838
ESP,Barcelona,41.38879,2.15899,2.1350157763850777,41.37080356788162,2.1829642236149227,41.40677643211838
ESP,Bilbao,43.26271,-2.92528,-2.949979208868496,43.24472356788162,-2.9005807911315036,43.280696432118376
ESP,Vigo,42.23282,-8.72264,-8.746932211668145,42.21483356788162,-8.698347788331855,42.250806432118374
Argentina,Cordoba,-31.4135,-64.18105,-64.20212551173871,-31.431486432118373,-64.15997448826128,-31.395513567881626
BEL,Brussels,50.85045,4.34878,4.320291006576165,50.832463567881625,4.377268993423835,50.86843643211838
BEL,Antwerp,51.22047,4.40026,4.371542605025867,51.20248356788162,4.428977394974134,51.238456432118376
BEL,Leuven,50.87959,4.70093,4.672423194291396,50.86160356788162,4.729436805708604,50.89757643211838
FRA,Dijon,47.31667,5.01667,4.990139218960345,47.298683567881625,5.043200781039656,47.33465643211838
FRA,Nancy,48.67333,6.15283,6.125592327760934,48.65534356788162,6.1800676722390655,48.69131643211838
