Country,City,Lat,Lon,West,South,East,North
DEU,Kempten,47.72674,10.31389,10.311216102612928,47.724941356788165,10.316563897387073,47.728538643211834
DEU,Stuttgart,48.78232,9.17702,9.174290322904424,48.780521356788164,9.179749677095577,48.78411864321183
DEU,Nuremberg,49.45421,11.07752,11.074753093047965,49.45241135678817,11.080286906952034,49.45600864321184
DEU,Aschaffenburg,49.97704,9.15214,9.149343143365499,49.97524135678817,9.1549368566345,49.97883864321184
DEU,Bonn,50.73438,7.09549,7.092648166301047,50.73258135678817,7.0983318336989525,50.73617864321184
DEU,Leipzig,51.33962,12.37129,12.368410801927656,51.33782135678816,12.374169198072344,51.34141864321183
DEU,Berlin,52.52437,13.41053,13.407573766495151,52.52257135678816,13.413486233504848,52.52616864321183
DEU,Hanover,52.37052,9.73322,9.730274073939146,52.368721356788164,9.736165926060853,52.372318643211834
DEU,Bremen,53.07582,8.80717,8.804176041960355,53.074021356788165,8.810163958039643,53.077618643211835
DEU,Kiel,54.32133,10.13489,10.131806112132498,54.31953135678817,10.137973887867503,54.32312864321184
USA,NewYork,40.71427,-74.00597,-74.00834296818917,40.712471356788164,-74.00359703181084,40.716068643211834
USA,Washington,38.89511,-77.03637,-77.0386809992872,38.89331135678817,-77.03405900071282,38.89690864321184
USA,Austin,30.26715,-97.74306,-97.74514252301348,30.265351356788162,-97.74097747698652,30.26894864321184
USA,Phoenix,32.47098,-85.00077,-85.00290194391009,32.46918135678816,-84.99863805608992,32.47277864321183
USA,SantaFe,35.68698,-105.9378,-105.94001448846883,35.68518135678816,-105.93558551153116,35.68877864321183
CHN,Beijing,39.9075,116.39723,116.3948852113916,39.905701356788164,116.39957478860839,39.909298643211834
CHN,Tianjin,39.14222,117.17667,117.17435091001094,39.14042135678817,117.17898908998906,39.14401864321184
CHN,Qingdao,36.06488,120.38042,120.37819492269296,36.06308135678817,120.38264507730705,36.06667864321184
ESP,Barcelona,41.38879,2.15899,2.156592577638508,41.386991356788165,2.1613874223614924,41.390588643211835
ESP,Bilbao,43.26271,-2.92528,-2.9277499208868494,43.260911356788164,-2.9228100791131504,43.26450864321183
ESP,Vigo,42.23282,-8.72264,-8.725069221166814,42.23102135678816,-8.720210778833186,42.23461864321183
Argentina,Cordoba,-31.4135,-64.18105,-64.18315755117388,-31.415298643211838,-64.17894244882612,-31.41170135678816
BEL,Brussels,50.85045,4.34878,4.345931100657616,50.84865135678817,4.3516288993423835,50.85224864321184
BEL,Antwerp,51.22047,4.40026,4.397388260502587,51.218671356788164,4.403131739497414,51.222268643211834
BEL,Leuven,50.87959,4.70093,4.698079319429139,50.877791356788165,4.70378068057086,50.881388643211835
FRA,Dijon,47.31667,5.01667,5.014016921896035,47.31487135678817,5.019323078103966,47.31846864321184
FRA,Nancy,48.67333,6.15283,6.150106232776094,48.671531356788165,6.155553767223906,48.675128643211835
